Comment,Designator,Footprint,LCSC Part #,Mfg Part #
CAP CER 100NF 25V 10% X7R 0402,"C1, C4, C7",0402,C1525,CL10B104KA8NNNC
CAP ELEC 10UF 25V 20% 5x5.4mm,C2,0505,C2992591,RT1E100M0505
CAP CER 10UF 25V 10% X7R 0805,"C3, C6, C14, C15, C16",0805,C440198,
CAP ELEC 22UF 25V 20% 5x5.4mm,C5,0505,C59940,RT1E220M0505
CAP CER 220NF 25V 10% X7R 0603,"C8, C11",0603,C21120,CL10B224KA8NNNC
CAP CER 4.7UF 25V 10% X7R 0603,"C9, C12",0603,C107368,CL10B475KQ8NQNC
CAP CER 1.0UF 25V 10% X7R 0603,C10,0603,C29936,CL10B105KA8NNNC
RES 56K OHM 0.1W 1% 0603,R1,0402,C25794,RCS1608F5492CS
RES 10K OHM 0.1W 1% 0603,"R2, R3, R4",0402,C25744,RCS1608F103CS
PWR INDR 3.3UH 20% 8.5A 7x6.3mm,L1,MWSA0603S,C408446,MWSA0603S-3R3MT
JST SH 6POS,J9,SMT 6P,C160405,SH-SM06B-SRSS
JST SH 4POS,J16,SMT 4P,C160390,SH-BM04B-SRSS
WS2812B-2020,D1,2020,C2909058,WS2812B-2020
SYNCHRONOUS STEP DOWN VOLTAGE CONVERTER,U1,SOT-23-6,C2650336,TPS565208
3 AXIS MAGNETOMETER,U2,LGA-16,C976032,QMC5883L
TOF SENSOR,U3,5050,C2970716,VL53L1CX
