Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,-26.6,-5.4,45,bottom
C2,10u,CP_Elec_5x5.4,-20.355741,-10.217158,-135,bottom
C3,6.8u,C_0805_2012Metric,-12.2,-9.7,-90,bottom
C4,100n,C_0402_1005Metric,-15.7,-9.7,-90,bottom
C5,22u,CP_Elec_5x5.4,-33.6,3.8,0,bottom
C6,6.8u,C_0805_2012Metric,-27.9,3.8,0,bottom
C7,100n,C_0402_1005Metric,-30,-7.9,-90,bottom
C8,220n,R_0603_1608Metric,-3.9,11.1,-90,bottom
C9,4.7u,R_0603_1608Metric,-2.5,11.1,-90,bottom
C10,1u,R_0603_1608Metric,0.8,9.2,180,bottom
C11,220n,R_0603_1608Metric,3.4,11,0,bottom
C12,4.7u,R_0603_1608Metric,3.4,12.5,0,bottom
C14,6.8u,C_0805_2012Metric,-14.2,-9.7,-90,bottom
C15,6.8u,C_0805_2012Metric,-33.3,-0.1,180,bottom
C16,6.8u,C_0805_2012Metric,-33.3,-2.1,180,bottom
D1,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-29.2,-5.7,180,bottom
J9,Conn_01x06_MountingPin,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,-41,0,180,bottom
J13,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-77,3.8,180,bottom
J15,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-77,-0.5,180,bottom
J16,Conn_01x04_MountingPin,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,-68.4,4.1,180,bottom
J17,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-68.4,-0.5,0,bottom
J18,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-59.8,3.8,180,bottom
J19,Conn_01x06,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,-59.8,-0.5,180,bottom
L1,3.3u,L_Sunlord_MWSA0603S,-26.775,-0.8,180,bottom
R1,54.9k,R_0402_1005Metric,-28.6,-7.5,180,bottom
R2,10k,R_0402_1005Metric,-28.1,-8.7,0,bottom
R3,10k,R_0402_1005Metric,-24.2,-9.2,-135,bottom
R4,10k,R_0402_1005Metric,3.4,9.7,180,bottom
U1,TPS565208,SOT-23-6,-25.176085,-7.032583,135,bottom
U2,IST8308,LGA-16_3x3mm_P0.5mm,0,11.7,-90,bottom
U3,VL53L1CXV0FY1,ST_VL53L1x,5.5,14.7,0,bottom
